time	role	roleBits	draw	drawCount	primitiveType	primitiveCount	vertexCount	texture	rtxTextureHash	width	height	format	levels	usage	pool	fvf	fvfRhw	declPositionT	shaderActive	unknownLayout	rt0	rtWidth	rtHeight	rtFormat	rtFromTexture	zEnable	zWriteEnable	alphaBlendEnable	alphaTestEnable	lighting	fogEnable	overlayState	frameDrawIndex	projOrtho	worldDrawn
2026-06-02 17:55:51.522	ui_candidate	0x00000001	DrawPrimitive	2	6	2	0	1475FD30	0x093C29F27ECFCF21	16	16	DXT1	5	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	1	1	0	0	1	2	0	0
2026-06-02 17:55:51.663	video_candidate	0x00000002	DrawPrimitive	8	6	2	0	1480B0D8	0x58C257EC34473599	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.694	video_candidate	0x00000002	DrawPrimitive	12	6	2	0	1480B0D8	0xD358C269241BF51D	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.725	video_candidate	0x00000002	DrawPrimitive	16	6	2	0	1480B0D8	0xB38676B2A53A875E	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.760	video_candidate	0x00000002	DrawPrimitive	20	6	2	0	1480B0D8	0x07229C4C78F76382	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.790	video_candidate	0x00000002	DrawPrimitive	24	6	2	0	1480B0D8	0x8C4C1A61C7E5D2DC	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.825	video_candidate	0x00000002	DrawPrimitive	28	6	2	0	1480B0D8	0xB2E9872D102DD695	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.857	video_candidate	0x00000002	DrawPrimitive	32	6	2	0	1480B0D8	0x36C88CE5EAF51702	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.890	video_candidate	0x00000002	DrawPrimitive	36	6	2	0	1480B0D8	0x6E49FC3BAB480014	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.923	video_candidate	0x00000002	DrawPrimitive	40	6	2	0	1480B0D8	0x11A7F17E2B0E5313	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.956	video_candidate	0x00000002	DrawPrimitive	44	6	2	0	1480B0D8	0xD0B780BA94CAECA4	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:51.990	video_candidate	0x00000002	DrawPrimitive	48	6	2	0	1480B0D8	0x2A5A532833BB6793	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.024	video_candidate	0x00000002	DrawPrimitive	52	6	2	0	1480B0D8	0xA6EC0F5CDE2B56D8	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.056	video_candidate	0x00000002	DrawPrimitive	56	6	2	0	1480B0D8	0x78E66C58E2B0D16A	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.090	video_candidate	0x00000002	DrawPrimitive	60	6	2	0	1480B0D8	0xEC043DC6C80E2F51	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.124	video_candidate	0x00000002	DrawPrimitive	64	6	2	0	1480B0D8	0x617CD795745EDBF7	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.157	video_candidate	0x00000002	DrawPrimitive	68	6	2	0	1480B0D8	0x24ADFF6EC51C68D0	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.189	video_candidate	0x00000002	DrawPrimitive	72	6	2	0	1480B0D8	0xE731B3F430981E14	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.223	video_candidate	0x00000002	DrawPrimitive	76	6	2	0	1480B0D8	0x7EC670A1327779FB	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.256	video_candidate	0x00000002	DrawPrimitive	80	6	2	0	1480B0D8	0xDD72798F6C32AC31	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.289	video_candidate	0x00000002	DrawPrimitive	84	6	2	0	1480B0D8	0xB968F702FFE62EA4	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.322	video_candidate	0x00000002	DrawPrimitive	88	6	2	0	1480B0D8	0x0C70E4FA4373B5D1	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
2026-06-02 17:55:52.356	video_candidate	0x00000002	DrawPrimitive	92	6	2	0	1480B0D8	0x814E2D575CC1E36C	640	360	A8R8G8B8	1	0x00000000	1	0x00000144	1	0	0	0	14743D90	2560	1440	X8R8G8B8	0	0	1	0	1	0	0	1	4	0	0
