"Index","Count","Hash","Size","Format","Levels","Png","Dds"
"1","8","0xEE2BE1B3A8F9EB55","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_001.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_EE2BE1B3A8F9EB55_32x32_DXT1.dds"
"2","8","0x43D1645B5C3DEECF","32x64","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_002.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_43D1645B5C3DEECF_32x64_A8R8G8B8.dds"
"3","8","0xE47F4A69E7485DAF","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_003.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_E47F4A69E7485DAF_128x128_DXT1.dds"
"4","8","0x6842A3653B0F85E8","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_004.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_6842A3653B0F85E8_32x32_DXT1.dds"
"5","7","0xF77D888941F4BB8C","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_005.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_F77D888941F4BB8C_64x64_DXT1.dds"
"6","7","0xA046EBF856E313EE","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_006.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A046EBF856E313EE_64x64_DXT1.dds"
"7","6","0x96B329D2C97D1620","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_007.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_96B329D2C97D1620_128x64_DXT1.dds"
"8","6","0x3AE50341A46C66D9","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_008.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_3AE50341A46C66D9_128x64_DXT1.dds"
"9","6","0xF47C8AD8C017C530","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_009.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_F47C8AD8C017C530_32x32_DXT1.dds"
"10","6","0x2C85F1658D4ACA55","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_010.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_2C85F1658D4ACA55_32x32_DXT1.dds"
"11","6","0xA057271C9071C99D","8x8","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_011.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A057271C9071C99D_8x8_DXT1.dds"
"12","6","0x6B76CB11E09FB71F","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_012.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_6B76CB11E09FB71F_32x32_DXT1.dds"
"13","6","0xD84E0241FB4E93F6","1024x128","A8R8G8B8","1","re_docs\hud_pause_candidate_png_2100\cand_013.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_D84E0241FB4E93F6_1024x128_A8R8G8B8.dds"
